Land,AGS,Landkreis,Wahlberechtigte,Wähler,Ungültige.Erststimmen,Gültige.Erststimmen,CDU.Erststimmen,SPD.Erststimmen,FDP.Erststimmen,DIE LINKE.Erststimmen,GRÜNE.Erststimmen,CSU.Erststimmen,PIRATEN.Erststimmen,NPD.Erststimmen,Tierschutzpartei.Erststimmen,REP.Erststimmen,ÖDP.Erststimmen,FAMILIE.Erststimmen,Bündnis 21/RRP.Erststimmen,RENTNER.Erststimmen,BP.Erststimmen,PBC.Erststimmen,BüSo.Erststimmen,DIE VIOLETTEN.Erststimmen,MLPD.Erststimmen,"Volksabstimmung.Erststimmen",AfD.Erststimmen,BIG.Erststimmen,pro Deutschland.Erststimmen,FREIE WÄHLER.Erststimmen,PARTEI DER VERNUNFT.Erststimmen,Die PARTEI.Erststimmen,B.Erststimmen,BGD.Erststimmen,DKP.Erststimmen,NEIN!.Erststimmen,Übrige.Erststimmen,Ungültige.Zweitstimmen,Gültige.Zweitstimmen,CDU.Zweitstimmen,SPD.Zweitstimmen,FDP.Zweitstimmen,DIE LINKE.Zweitstimmen,GRÜNE.Zweitstimmen,CSU.Zweitstimmen,PIRATEN.Zweitstimmen,NPD.Zweitstimmen,Tierschutzpartei.Zweitstimmen,REP.Zweitstimmen,ÖDP.Zweitstimmen,FAMILIE.Zweitstimmen,Bündnis 21/RRP.Zweitstimmen,RENTNER.Zweitstimmen,BP.Zweitstimmen,PBC.Zweitstimmen,BüSo.Zweitstimmen,DIE VIOLETTEN.Zweitstimmen,MLPD.Zweitstimmen,Volksabstimmung.Zweitstimmen,PSG.Zweitstimmen,AfD.Zweitstimmen,BIG.Zweitstimmen,pro Deutschland.Zweitstimmen,DIE RECHTE.Zweitstimmen,DIE FRAUEN.Zweitstimmen,FREIE WÄHLER.Zweitstimmen,"Nichtwähler.Zweitstimmen",PARTEI DER VERNUNFT.Zweitstimmen,Die PARTEI.Zweitstimmen
SH,1001,"Flensburg, Stadt",70321,46827,589,46238,15647,18915,807,3250,4533,0,1303,324,0,0,0,0,0,0,0,0,0,0,0,0,1459,0,0,0,0,0,0,0,0,0,0,562,46265,14136,16480,2061,3780,5507,0,1172,315,486,0,0,0,0,254,0,0,0,0,19,0,0,1855,0,0,0,0,200,0,0,0
SH,1002,"Kiel, Landeshauptstadt",187464,132054,1524,130530,41409,57073,2703,7220,13464,0,3347,786,0,0,0,0,0,832,0,0,0,0,0,0,3616,0,0,0,0,0,0,0,0,0,80,1368,130686,38037,46070,6688,9478,18814,0,3719,754,1120,0,0,0,0,733,0,0,0,0,68,0,0,4778,0,0,0,0,427,0,0,0
SH,1003,"Lübeck, Hansestadt",167287,113351,1423,111928,39973,46127,2709,6205,8716,0,2606,861,0,0,0,0,0,0,0,0,0,0,0,0,3737,0,0,994,0,0,0,0,0,0,0,1322,112029,37701,38703,5244,7396,12561,0,2772,884,797,0,0,0,0,392,0,0,0,0,92,0,0,4792,0,0,0,0,695,0,0,0
SH,1004,"Neumünster, Stadt",61095,39957,623,39334,15857,15891,655,1768,1993,0,797,598,0,0,0,0,0,0,0,0,0,0,0,0,1707,0,0,0,0,0,0,0,0,0,68,569,39388,14170,14092,1925,2157,2959,0,772,630,336,0,0,0,0,184,0,0,0,0,20,0,0,1965,0,0,0,0,178,0,0,0
SH,1051,Dithmarschen,107468,74624,1021,73603,35326,24510,3071,2941,3348,0,1403,534,0,0,0,0,0,0,0,0,0,0,0,0,2470,0,0,0,0,0,0,0,0,0,0,975,73649,32039,22264,4775,3567,4649,0,1432,549,525,0,0,0,0,334,0,0,0,0,32,0,0,3041,0,0,0,0,442,0,0,0
SH,1053,Herzogtum Lauenburg,149486,111545,1104,110441,49337,38165,2482,4451,7890,0,1849,967,0,0,0,0,0,0,0,0,0,0,0,0,4987,0,0,119,0,0,0,0,0,0,194,1063,110482,44406,33059,6427,5788,9963,0,1928,958,921,0,0,0,0,363,0,0,0,0,22,0,0,6098,0,0,0,0,549,0,0,0
SH,1054,Nordfriesland,131157,93315,1143,92172,46029,29353,2061,3140,6583,0,1754,489,0,0,0,0,0,0,0,0,0,0,0,0,2763,0,0,0,0,0,0,0,0,0,0,1006,92309,39745,27230,5949,3918,8155,0,1686,467,699,0,0,0,0,395,0,0,0,0,29,0,0,3490,0,0,0,0,546,0,0,0
SH,1055,Ostholstein,164625,120139,1442,118697,54469,44169,2717,4025,6361,0,1817,661,0,0,0,0,0,0,0,0,0,0,0,0,4478,0,0,0,0,0,0,0,0,0,0,1357,118782,48856,37612,7433,5102,9332,0,1878,668,835,0,0,0,0,452,0,0,0,0,22,0,0,5948,0,0,0,0,644,0,0,0
SH,1056,Pinneberg,235610,179055,1703,177352,80483,64006,3303,6985,11324,0,3225,1260,0,0,0,0,0,0,0,0,0,0,0,0,6766,0,0,0,0,0,0,0,0,0,0,1682,177373,72006,55371,9863,8910,15291,0,3370,1319,1271,0,0,0,0,665,0,0,0,0,42,0,0,8479,0,0,0,0,786,0,0,0
SH,1057,Plön,104178,80265,972,79293,35576,29029,1543,2712,5612,0,1224,509,0,0,0,0,0,0,0,0,0,0,0,0,2853,0,0,0,0,0,0,0,0,0,235,872,79393,31491,25097,4425,3532,8103,0,1263,464,599,0,0,0,0,322,0,0,0,0,24,0,0,3582,0,0,0,0,491,0,0,0
